id,station_name,prec_no,block_no,station_type,earliest_year
1,札幌,14,47412,s,1872
2,仙台,34,47590,s,1872
3,さいたま,43,0363,a,1976
4,東京,44,47662,s,1872
5,新潟,54,47604,s,1872
6,名古屋,51,47636,s,1872
7,大阪,62,47772,s,1872
8,広島,67,47765,s,1872
9,高松,72,47891,s,1872
10,福岡,82,47807,s,1872
11,鹿児島,88,47827,s,1872
12,那覇,91,47936,s,1872
13,中頓別,11,1051,a,1976
14,北見枝幸,11,47402,s,1872
15,声問,11,1528,a,1976
16,宗谷岬,11,1284,a,1976
17,幌泊,11,1593,a,1976
18,本泊,11,1512,a,1976
19,歌登,11,0005,a,1976
20,沓形,11,0002,a,1976
21,沼川,11,1203,a,1976
22,浜頓別,11,0003,a,1976
23,浜鬼志別,11,1285,a,1976
24,礼文,11,1546,a,1976
25,稚内,11,47401,s,1872
26,船泊,11,1207,a,1976
27,豊富,11,1054,a,1976
28,上富良野,12,1190,a,1976
29,上川,12,0015,a,1976
30,下川,12,0010,a,1976
31,中川,12,1201,a,1976
32,占冠,12,1189,a,1976
33,名寄,12,0008,a,1976
34,和寒,12,1055,a,1976
35,士別,12,0011,a,1976
36,富良野,12,0021,a,1976
37,幌加内,12,1053,a,1976
38,幾寅,12,1188,a,1976
39,志比内,12,1185,a,1976
40,旭川,12,47407,s,1872
41,朝日,12,1047,a,1976
42,朱鞠内,12,1279,a,1976
43,東川,12,1184,a,1976
44,東神楽,12,1458,a,1976
45,比布,12,1048,a,1976
46,江丹別,12,1191,a,1976
47,美深,12,0006,a,1976
48,美瑛,12,1052,a,1976
49,音威子府,12,1197,a,1976
50,麓郷,12,1280,a,1976
51,初山別,13,1216,a,1976
52,増毛,13,0028,a,1976
53,天塩,13,0024,a,1976
54,幌糠,13,1218,a,1976
55,焼尻,13,1213,a,1976
56,留萌,13,47406,s,1872
57,羽幌,13,47404,s,1872
58,達布,13,1217,a,1976
59,遠別,13,0025,a,1976
60,千歳,14,1459,a,1976
61,厚田,14,1194,a,1976
62,山口,14,0031,a,1976
63,恵庭島松,14,0035,a,1976
64,支笏湖畔,14,0037,a,1976
65,新篠津,14,0030,a,1976
66,江別,14,1507,a,1976
67,浜益,14,1193,a,1976
68,石狩,14,1085,a,1976
69,西野幌,14,1076,a,1976
70,夕張,15,0049,a,1976
71,岩見沢,15,47413,s,1872
72,月形,15,0999,a,1976
73,深川,15,0039,a,1976
74,滝川,15,0041,a,1976
75,石狩沼田,15,0038,a,1976
76,秩父別,15,1674,a,1976
77,空知吉野,15,1287,a,1976
78,美唄,15,0044,a,1976
79,芦別,15,0043,a,1976
80,長沼,15,0047,a,1976
81,余市,16,0052,a,1976
82,倶知安,16,47433,s,1872
83,共和,16,0054,a,1976
84,喜茂別,16,0060,a,1976
85,寿都,16,47421,s,1872
86,小樽,16,47411,s,1872
87,真狩,16,1072,a,1976
88,神恵内,16,1208,a,1976
89,美国,16,0051,a,1976
90,蘭越,16,0055,a,1976
91,黒松内,16,0061,a,1976
92,佐呂間,17,0070,a,1976
93,北見,17,0074,a,1976
94,境野,17,1209,a,1976
95,女満別,17,1460,a,1976
96,宇登呂,17,0981,a,1976
97,小清水,17,0075,a,1976
98,常呂,17,0068,a,1976
99,斜里,17,0076,a,1976
100,津別,17,0082,a,1976
101,湧別,17,0065,a,1976
102,滝上,17,0066,a,1976
103,生田原,17,0072,a,1976
104,留辺蘂,17,0077,a,1976
105,白滝,17,1092,a,1976
106,紋別,17,47435,s,1872
107,紋別小向,17,1487,a,1976
108,網走,17,47409,s,1872
109,美幌,17,0079,a,1976
110,興部,17,0063,a,1976
111,西興部,17,1073,a,1976
112,遠軽,17,0069,a,1976
113,雄武,17,47405,s,1872
114,上標津,18,1547,a,1976
115,中標津,18,0086,a,1976
116,別海,18,0088,a,1976
117,厚床,18,1196,a,1976
118,根室,18,47420,s,1872
119,根室中標津,18,1489,a,1976
120,標津,18,0085,a,1976
121,納沙布,18,1056,a,1976
122,羅臼,18,0084,a,1976
123,計根別,18,0087,a,1976
124,中徹別,19,0095,a,1976
125,太田,19,1192,a,1976
126,川湯,19,0090,a,1976
127,弟子屈,19,1187,a,1976
128,榊町,19,1195,a,1976
129,標茶,19,0093,a,1976
130,白糠,19,0098,a,1976
131,知方学,19,1283,a,1976
132,釧路,19,47418,s,1872
133,阿寒湖畔,19,0091,a,1976
134,鶴丘,19,1461,a,1976
135,鶴居,19,1186,a,1976
136,ぬかびら源泉郷,20,0103,a,1976
137,上士幌,20,0107,a,1976
138,上札内,20,1210,a,1976
139,大樹,20,0121,a,1976
140,大津,20,1214,a,1976
141,帯広,20,47417,s,1872
142,帯広泉,20,1510,a,1976
143,広尾,20,47440,s,1872
144,新得,20,0113,a,1976
145,更別,20,1211,a,1976
146,本別,20,0112,a,1976
147,池田,20,0117,a,1976
148,浦幌,20,0118,a,1976
149,糠内,20,1286,a,1976
150,芽室,20,0115,a,1976
151,足寄,20,0109,a,1976
152,陸別,20,0101,a,1976
153,駒場,20,1204,a,1976
154,鹿追,20,0114,a,1976
155,伊達,21,0132,a,1976
156,厚真,21,0124,a,1976
157,大岸,21,0128,a,1976
158,大滝,21,1067,a,1976
159,室蘭,21,47423,s,1872
160,森野,21,0126,a,1976
161,登別,21,0134,a,1976
162,白老,21,0130,a,1976
163,穂別,21,0125,a,1976
164,苫小牧,21,47424,s,1872
165,鵡川,21,0131,a,1976
166,えりも岬,22,1340,a,1976
167,三石,22,1198,a,1976
168,中杵臼,22,1288,a,1976
169,新和,22,0137,a,1976
170,日高,22,1202,a,1976
171,日高門別,22,0136,a,1976
172,浦河,22,47426,s,1872
173,静内,22,0140,a,1976
174,八雲,23,0144,a,1976
175,函館,23,47430,s,1872
176,北斗,23,0148,a,1976
177,川汲,23,0147,a,1976
178,木古内,23,0917,a,1976
179,松前,23,0152,a,1976
180,森,23,0145,a,1976
181,熊石,23,0155,a,1976
182,長万部,23,0143,a,1976
183,高松,23,1462,a,1976
184,せたな,24,0153,a,1976
185,今金,24,0154,a,1976
186,奥尻,24,1199,a,1976
187,江差,24,47428,s,1872
188,米岡,24,1513,a,1976
189,鶉,24,1200,a,1976
190,むつ,31,47576,s,1872
191,三戸,31,0179,a,1976
192,三沢,31,0169,a,1976
193,五所川原,31,0164,a,1976
194,今別,31,1026,a,1976
195,休屋,31,0177,a,1976
196,八戸,31,47581,s,1872
197,六ケ所,31,1027,a,1976
198,十和田,31,0172,a,1976
199,大間,31,1041,a,1976
200,小田野沢,31,1122,a,1976
201,市浦,31,1119,a,1976
202,弘前,31,0166,a,1976
203,深浦,31,47574,s,1872
204,碇ケ関,31,0175,a,1976
205,脇野沢,31,1124,a,1976
206,蟹田,31,0160,a,1976
207,酸ケ湯,31,1079,a,1976
208,野辺地,31,0162,a,1976
209,青森,31,47575,s,1872
210,青森大谷,31,1495,a,1976
211,鰺ケ沢,31,0163,a,1976
212,黒石,31,0167,a,1976
213,にかほ,32,0199,a,1976
214,五城目,32,0188,a,1976
215,八幡平,32,1289,a,1976
216,八森,32,1043,a,1976
217,大曲,32,0195,a,1976
218,大正寺,32,1050,a,1976
219,大潟,32,1035,a,1976
220,大館,32,0912,a,1976
221,岩見三内,32,0192,a,1976
222,本荘,32,0196,a,1976
223,東由利,32,1117,a,1976
224,横手,32,0198,a,1976
225,湯の岱,32,0204,a,1976
226,湯沢,32,0202,a,1976
227,湯瀬,32,0186,a,1976
228,田沢湖,32,0194,a,1976
229,男鹿,32,1036,a,1976
230,矢島,32,0200,a,1976
231,秋田,32,47582,s,1872
232,能代,32,0183,a,1976
233,脇神,32,1463,a,1976
234,角館,32,0193,a,1976
235,阿仁合,32,1131,a,1976
236,雄和,32,1511,a,1976
237,鷹巣,32,0184,a,1976
238,鹿角,32,0185,a,1976
239,一関,33,0238,a,1976
240,久慈,33,0209,a,1976
241,二戸,33,0207,a,1976
242,住田,33,1206,a,1976
243,北上,33,0230,a,1976
244,区界,33,1447,a,1976
245,千厩,33,0239,a,1976
246,大船渡,33,47512,s,1872
247,大迫,33,0228,a,1976
248,奥中山,33,1215,a,1976
249,好摩,33,1032,a,1976
250,宮古,33,47585,s,1872
251,小本,33,1212,a,1976
252,山形,33,1219,a,1976
253,山田,33,1033,a,1976
254,岩手松尾,33,0214,a,1976
255,岩泉,33,0218,a,1976
256,川井,33,1224,a,1976
257,新町,33,1628,a,1976
258,普代,33,1123,a,1976
259,江刺,33,0236,a,1976
260,沢内,33,1118,a,1976
261,湯田,33,0229,a,1976
262,盛岡,33,47584,s,1872
263,種市,33,0205,a,1976
264,紫波,33,1128,a,1976
265,花巻,33,0227,a,1976
266,若柳,33,0235,a,1976
267,荒屋,33,1120,a,1976
268,葛巻,33,0211,a,1976
269,薮川,33,1078,a,1976
270,軽米,33,0206,a,1976
271,遠野,33,0231,a,1976
272,釜石,33,0233,a,1976
273,門馬,33,1225,a,1976
274,陸前高田,33,1629,a,1976
275,雫石,33,0221,a,1976
276,丸森,34,1220,a,1976
277,亘理,34,0257,a,1976
278,古川,34,0247,a,1976
279,名取,34,1464,a,1976
280,塩釜,34,1030,a,1976
281,大衡,34,0248,a,1976
282,女川,34,1626,a,1976
283,川崎,34,0254,a,1976
284,川渡,34,0243,a,1976
285,志津川,34,0246,a,1976
286,新川,34,0251,a,1976
287,東松島,34,1631,a,1976
288,桃生,34,1630,a,1976
289,気仙沼,34,0242,a,1976
290,江ノ島,34,1290,a,1976
291,白石,34,0256,a,1976
292,石巻,34,47592,s,1872
293,築館,34,0244,a,1976
294,米山,34,1029,a,1976
295,蔵王,34,1564,a,1976
296,駒ノ湯,34,1126,a,1976
297,鹿島台,34,0249,a,1976
298,向町,35,0910,a,1976
299,大井沢,35,1292,a,1976
300,小国,35,0277,a,1976
301,尾花沢,35,1039,a,1976
302,山形,35,47588,s,1872
303,左沢,35,0272,a,1976
304,差首鍋,35,0260,a,1976
305,新庄,35,47520,s,1872
306,村山,35,1539,a,1976
307,東根,35,1488,a,1976
308,楯岡,35,0271,a,1976
309,浜中,35,1465,a,1976
310,狩川,35,0264,a,1976
311,米沢,35,0279,a,1976
312,肘折,35,1125,a,1976
313,酒田,35,47587,s,1872
314,金山,35,0262,a,1976
315,長井,35,0275,a,1976
316,飛島,35,1291,a,1976
317,高峰,35,0278,a,1976
318,高畠,35,1132,a,1976
319,鶴岡,35,0263,a,1976
320,鼠ケ関,35,1040,a,1976
321,上遠野,36,1127,a,1976
322,二本松,36,0291,a,1976
323,南郷,36,0301,a,1976
324,古殿,36,1634,a,1976
325,只見,36,0297,a,1976
326,喜多方,36,0286,a,1976
327,小名浜,36,47598,s,1872
328,小野新町,36,0304,a,1976
329,山田,36,1607,a,1976
330,川内,36,1129,a,1976
331,広野,36,1034,a,1976
332,新地,36,1633,a,1976
333,東白川,36,0312,a,1976
334,桧原,36,1282,a,1976
335,桧枝岐,36,1295,a,1976
336,梁川,36,0281,a,1976
337,浪江,36,0295,a,1976
338,湯本,36,1294,a,1976
339,猪苗代,36,0290,a,1976
340,玉川,36,1466,a,1976
341,田島,36,0303,a,1976
342,白河,36,47597,s,1872
343,相馬,36,0285,a,1976
344,石川,36,0307,a,1976
345,福島,36,47595,s,1872
346,船引,36,0294,a,1976
347,若松,36,47570,s,1872
348,茂庭,36,1293,a,1976
349,西会津,36,1031,a,1976
350,郡山,36,0299,a,1976
351,金山,36,1044,a,1976
352,飯舘,36,1130,a,1976
353,鷲倉,36,1116,a,1976
354,つくば（館野）,40,47646,s,1872
355,下妻,40,0322,a,1976
356,下館,40,1530,a,1976
357,北茨城,40,0315,a,1976
358,古河,40,0320,a,1976
359,土浦,40,0324,a,1976
360,大子,40,0316,a,1976
361,常総,40,1661,a,1976
362,常陸大宮,40,1331,a,1976
363,日立,40,1011,a,1976
364,水戸,40,47629,s,1872
365,笠間,40,0318,a,1976
366,筑波山,40,1082,a,1976
367,鉾田,40,1245,a,1976
368,高萩,40,1635,a,1976
369,鹿嶋,40,0325,a,1976
370,龍ケ崎,40,1014,a,1976
371,五十里,41,1015,a,1976
372,今市,41,1333,a,1976
373,佐野,41,1018,a,1976
374,土呂部,41,1221,a,1976
375,塩谷,41,1334,a,1976
376,大田原,41,0331,a,1976
377,奥日光（日光）,41,47690,s,1872
378,宇都宮,41,47615,s,1872
379,小山,41,0341,a,1976
380,日光東町,41,1675,a,1976
381,烏山,41,1017,a,1976
382,真岡,41,0338,a,1976
383,那須烏山,41,1605,a,1976
384,那須高原,41,0326,a,1976
385,鹿沼,41,0335,a,1976
386,黒磯,41,0329,a,1976
387,みなかみ,42,1019,a,1976
388,上里見,42,0353,a,1976
389,中之条,42,1020,a,1976
390,伊勢崎,42,1021,a,1976
391,前橋,42,47624,s,1872
392,桐生,42,0351,a,1976
393,沼田,42,0346,a,1976
394,田代,42,0348,a,1976
395,神流,42,1223,a,1976
396,草津,42,0343,a,1976
397,藤原,42,1222,a,1976
398,西野牧,42,0354,a,1976
399,館林,42,0356,a,1976
400,久喜,43,0359,a,1976
401,寄居,43,1009,a,1976
402,所沢,43,1070,a,1976
403,熊谷,43,47626,s,1872
404,秩父,43,47641,s,1872
405,越谷,43,0364,a,1976
406,鳩山,43,1232,a,1976
407,三宅伊豆,44,1525,a,1976
408,三宅坪田,44,1506,a,1976
409,三宅島,44,47677,s,1872
410,三宅島阿古,44,1509,a,1976
411,八丈島,44,47678,s,1872
412,八王子,44,0366,a,1976
413,八重見ヶ原,44,1468,a,1976
414,南鳥島,44,47991,s,1872
415,大島,44,47675,s,1872
416,大島北ノ山,44,1467,a,1976
417,小河内,44,0365,a,1976
418,府中,44,1133,a,1976
419,新島,44,1134,a,1976
420,新島,44,1522,a,1976
421,江戸川臨海,44,0370,a,1976
422,父島,44,47971,s,1872
423,神津島,44,1523,a,1976
424,練馬,44,1002,a,1976
425,羽田,44,0371,a,1976
426,青梅,44,1001,a,1976
427,佐倉,45,0916,a,1976
428,勝浦,45,47674,s,1872
429,千葉,45,47682,s,1872
430,坂畑,45,1241,a,1976
431,成田,45,0378,a,1976
432,我孫子,45,0376,a,1976
433,木更津,45,0382,a,1976
434,横芝光,45,1003,a,1976
435,牛久,45,1238,a,1976
436,船橋,45,1236,a,1976
437,茂原,45,0381,a,1976
438,銚子,45,47648,s,1872
439,館山,45,47672,s,1872
440,香取,45,0375,a,1976
441,鴨川,45,0384,a,1976
442,三浦,46,0392,a,1976
443,小田原,46,1008,a,1976
444,横浜,46,47670,s,1872
445,江ノ島,46,0391,a,1976
446,海老名,46,0388,a,1976
447,辻堂,46,1443,a,1976
448,上田,48,0402,a,1976
449,伊那,48,1445,a,1976
450,佐久,48,0408,a,1976
451,信州新町,48,0400,a,1976
452,信濃町,48,0394,a,1976
453,南信濃,48,1323,a,1976
454,南木曽,48,1022,a,1976
455,原村,48,0414,a,1976
456,大町,48,0399,a,1976
457,奈川,48,1312,a,1976
458,木曽平沢,48,0413,a,1976
459,木曽福島,48,0417,a,1976
460,木祖薮原,48,1666,a,1976
461,東御,48,0993,a,1976
462,松本,48,47618,s,1872
463,松本今井,48,1529,a,1976
464,浪合,48,1317,a,1976
465,白馬,48,0396,a,1976
466,穂高,48,0404,a,1976
467,立科,48,1300,a,1976
468,菅平,48,0992,a,1976
469,諏訪,48,47620,s,1872
470,軽井沢,48,47622,s,1872
471,辰野,48,1319,a,1976
472,野沢温泉,48,0393,a,1976
473,野辺山,48,0415,a,1976
474,長野,48,47610,s,1872
475,開田高原,48,1314,a,1976
476,飯山,48,0395,a,1976
477,飯島,48,0424,a,1976
478,飯田,48,47637,s,1872
479,高遠,48,0418,a,1976
480,切石,49,1234,a,1976
481,勝沼,49,0433,a,1976
482,南部,49,0439,a,1976
483,古関,49,0436,a,1976
484,大月,49,0434,a,1976
485,大泉,49,1023,a,1976
486,富士山,49,47639,s,1872
487,山中,49,0438,a,1976
488,河口湖,49,47640,s,1872
489,甲府,49,47638,s,1872
490,韮崎,49,1024,a,1976
